id,trainer_id,rider_id,handicap_weight
13,12,13,56.5
8,8,8,56.5
14,13,14,56.5
7,7,7,56.5
3,3,3,58.5
10,4,10,56.5
6,6,6,56.5
9,9,9,56.5
1,1,1,58.5
2,2,2,58.5
5,5,5,56.5
4,4,4,58.5
12,11,12,56.5
11,10,11,56.5
18,17,18,57.5
15,14,15,59
19,18,19,56.5
22,16,22,54.5
17,16,17,57.5
16,15,16,58.5
20,19,20,56
23,21,10,54.5
24,21,10,54
21,20,21,56
41,37,28,58
28,25,8,58
31,28,10,58
36,33,10,56
39,36,10,56
42,28,14,56
26,23,2,58
33,30,8,56
32,29,5,56
38,35,27,56
37,34,26,56
30,27,25,58
34,31,12,56
40,13,14,56
27,24,24,58
35,32,13,56
25,22,23,58
29,26,7,58
44,39,22,58
49,44,15,56
48,43,16,56
43,38,29,59
45,40,21,58
46,41,30,57.5
55,18,19,55
50,45,10,55.5
51,46,32,55.5
47,42,31,57.5
52,47,33,55
53,48,20,55
54,49,34,55
56,46,10,55
57,50,35,55
66,58,40,57
61,53,8,58.5
60,52,25,59
63,55,37,58
65,57,39,57.5
62,54,36,58
67,59,6,56.5
69,61,23,57.5
70,62,10,55
71,63,42,56.5
58,5,2,60.5
68,60,41,57.5
59,51,5,60
64,56,38,58
77,67,16,55
75,38,22,57
78,68,10,54
80,69,33,54
76,66,21,55
73,65,44,57.5
79,49,34,54
74,46,10,57
72,64,43,61
82,70,45,59.5
81,35,27,60
90,28,14,55
86,74,7,58
85,73,37,59
89,75,2,57.5
84,72,10,59
83,71,46,59
88,57,11,57.5
91,76,47,54
87,24,24,58
95,80,48,58.5
93,78,20,60.5
101,47,52,54
96,81,49,57.5
97,82,50,56.5
98,64,33,56
92,77,29,62
99,83,51,55.5
100,21,22,54
102,84,34,54
94,79,10,59
103,70,45,60
108,12,13,55.5
104,57,11,59.5
105,27,37,57.5
106,12,53,56
107,33,10,56
109,85,25,55.5
110,12,54,55
111,86,27,54
112,61,23,54
113,87,9,54
121,90,55,55.5
124,50,56,54
119,66,21,56.5
118,58,16,57
117,38,32,58
123,91,34,54
116,39,15,59
120,89,20,56
115,88,22,60
114,47,30,61
122,64,33,54
134,96,7,54.5
128,60,41,56.5
136,97,58,54
135,33,10,54
137,98,46,54
